,race_id,着順,枠番,馬番,馬名,斤量,騎手,タイム,上り,単勝,人気,性,年齢,体重,体重変化
0,202101010101,1,5,9,ディーバサンライズ,52,秋山稔樹,1:08.7,34.6,13.5,7,牝,3,474,-22
1,202101010101,2,3,6,バンベルク,56,横山和生,1:08.8,35.0,3.9,2,牡,3,470,-2
2,202101010101,3,7,14,リツィタル,54,大野拓弥,1:08.9,34.0,124.7,14,牝,3,394,2
3,202101010101,4,5,10,クレマチステソーロ,54,鮫島克駿,1:09.0,35.2,7.6,5,牝,3,468,2
4,202101010101,5,3,5,ペイシャケイティー,54,古川吉洋,1:09.0,34.5,7.5,4,牝,3,456,8
5,202101010101,6,1,2,セリシア,54,武豊,1:09.0,34.9,3.7,1,牝,3,456,4
6,202101010101,7,4,7,デクラーク,56,横山武史,1:09.2,33.9,6.1,3,牡,3,444,2
7,202101010101,8,6,11,プレジャジンク,54,吉田隼人,1:09.2,35.3,25.0,8,牝,3,452,12
8,202101010101,9,7,13,メルティング,54,団野大成,1:09.6,34.5,56.6,9,牝,3,416,0
9,202101010101,10,2,3,リトルロータス,52,山田敬士,1:09.6,34.5,275.3,16,牝,3,388,-20
10,202101010101,11,4,8,ニースバローズ,51,横山琉人,1:09.7,34.9,142.9,15,牝,3,402,6
11,202101010101,12,2,4,マイネルニゲラ,56,丹内祐次,1:09.9,35.9,57.7,11,牡,3,498,-4
12,202101010101,13,8,15,ルーチェビアンカ,54,荻野琢真,1:09.9,34.8,56.9,10,牝,3,442,8
13,202101010101,14,6,12,ワンダードゥヴァン,54,加藤祥太,1:09.9,35.2,95.4,13,牝,3,428,16
14,202101010101,15,1,1,ミエノベルル,56,菱田裕二,1:10.2,35.8,10.4,6,牡,3,436,0
15,202101010101,16,8,16,キッズリッカリッカ,54,岩田康誠,1:12.3,36.4,69.9,12,牝,3,504,2
0,202101010102,1,1,1,ペイルライダー,54,武豊,1:48.3,37.7,2.4,1,牝,3,476,8
1,202101010102,2,8,14,デルマフゲン,54,菊沢一樹,1:48.7,39.1,9.8,5,牝,3,460,12
2,202101010102,3,5,8,ラリマールース,52,泉谷楓真,1:48.9,39.0,15.2,7,牝,3,444,10
3,202101010102,4,3,4,メイショウメイロウ,54,大野拓弥,1:49.0,39.0,4.0,2,牝,3,468,0
4,202101010102,5,7,11,マテンロウステラ,54,横山武史,1:49.2,38.9,7.3,3,牝,3,442,2
5,202101010102,6,6,10,クアドリフォリオ,54,鮫島克駿,1:49.6,40.0,63.0,9,牝,3,496,8
6,202101010102,7,2,2,ナイルローズ,54,勝浦正樹,1:49.6,39.0,11.6,6,牝,3,462,10
7,202101010102,8,4,6,キーアクティヴ,50,永島まな,1:51.0,40.2,137.3,11,牝,3,480,18
8,202101010102,9,4,5,カガノワール,51,横山琉人,1:51.6,41.1,316.7,13,牝,3,442,-8
9,202101010102,10,6,9,ビーアップ,54,国分恭介,1:51.9,41.5,9.2,4,牝,3,458,-6
10,202101010102,11,7,12,プレカーリー,51,小沢大仁,1:53.1,42.7,17.1,8,牝,3,400,-2
11,202101010102,12,8,13,エラキス,54,川又賢治,1:53.1,42.1,387.9,14,牝,3,428,0
12,202101010102,13,5,7,クイントン,51,服部寿希,1:53.2,42.5,224.1,12,牝,3,436,16
13,202101010102,14,3,3,セイカリネット,54,横山和生,1:53.7,41.3,125.3,10,牝,3,428,-8
0,202101010103,1,8,11,エレファンティネ,54,鮫島克駿,1:00.1,36.4,67.7,11,牝,3,430,-8
1,202101010103,2,5,5,ファイヤービート,54,泉谷楓真,1:00.3,35.8,14.5,4,牡,3,450,6
2,202101010103,3,8,12,ハクサンタマテバコ,54,丹内祐次,1:00.5,37.0,8.2,2,牝,3,438,-8
3,202101010103,4,4,4,デイジームーン,54,菱田裕二,1:00.6,35.9,24.7,7,牝,3,430,-8
4,202101010103,5,1,1,ブリエヴェール,53,小林凌大,1:00.6,35.7,21.3,6,牡,3,460,-2
5,202101010103,6,6,8,ビトエノスター,56,横山武史,1:00.9,35.9,10.9,3,牡,3,434,2
6,202101010103,7,7,9,スターリーソング,53,亀田温心,1:00.9,36.8,36.6,9,牝,3,424,-2
7,202101010103,8,7,10,アクチュアリー,51,小沢大仁,1:01.1,37.4,14.6,5,牝,3,468,4
8,202101010103,9,3,3,ベイビーアッシュ,52,永島まな,1:01.2,35.9,32.6,8,牡,3,518,2
9,202101010103,10,6,7,ボンラヴォーロ,52,秋山稔樹,1:01.3,37.3,145.5,12,牝,3,432,-6
10,202101010103,11,2,2,ヒルノベルモンタ,56,古川吉洋,1:01.9,36.5,59.4,10,セ,3,456,-18
11,202101010103,12,5,6,ヴィオマージュ,56,大野拓弥,1:02.3,37.7,1.3,1,牡,3,484,-2
0,202101010104,1,2,3,シルキーヴォイス,54,泉谷楓真,2:01.4,34.9,35.8,10,牡,3,480,10
1,202101010104,2,7,13,ホウオウリアリティ,56,大野拓弥,2:01.4,34.8,4.8,3,牡,3,474,2
2,202101010104,3,3,5,ノアスマッシュ,54,武豊,2:01.7,34.7,4.4,2,牝,3,428,8
3,202101010104,4,1,1,エーティーツヨシ,56,竹之下智,2:01.8,35.6,15.3,7,牡,3,484,2
4,202101010104,5,4,7,デルマケゴン,54,菊沢一樹,2:01.9,35.4,49.7,12,牝,3,392,0
5,202101010104,6,4,6,ミステリーツアー,56,加藤祥太,2:02.0,35.3,108.5,14,牡,3,478,-14
6,202101010104,7,6,11,ルミナスゲート,56,藤岡佑介,2:02.1,35.8,3.9,1,牡,3,482,-6
7,202101010104,8,7,12,ヤマノグリッターズ,56,黛弘人,2:02.1,35.7,14.9,6,牡,3,488,0
8,202101010104,9,5,8,プリエール,54,菱田裕二,2:02.1,35.1,264.2,15,牝,3,412,-2
9,202101010104,10,6,10,ジャストフィット,56,団野大成,2:02.3,35.5,24.3,9,牡,3,506,-2
10,202101010104,11,2,2,ロイヤルアッシュ,56,鮫島克駿,2:02.3,35.5,83.4,13,牡,3,472,-6
11,202101010104,12,5,9,インフォーマント,56,吉田隼人,2:02.4,35.2,12.3,5,牡,3,482,2
12,202101010104,13,8,15,マテンロウスタイル,56,横山和生,2:02.6,36.0,6.1,4,牡,3,504,2
