,course_len,weather,race_type,ground_state,date
202001010101,1800,曇,芝,良,2020年7月25日
202001010102,1700,曇,ダート,良,2020年7月25日
202001010103,1500,曇,芝,良,2020年7月25日
202001010104,1700,曇,ダート,良,2020年7月25日
202001010105,1200,晴,芝,良,2020年7月25日
202001010106,2000,晴,芝,良,2020年7月25日
202001010107,1000,晴,ダート,良,2020年7月25日
202001010108,1700,晴,ダート,良,2020年7月25日
202001010109,2000,晴,芝,良,2020年7月25日
202001010110,1700,晴,ダート,良,2020年7月25日
202001010111,1200,晴,芝,良,2020年7月25日
202001010112,1200,曇,芝,良,2020年7月25日
202001010201,1200,晴,芝,良,2020年7月26日
202001010202,1000,晴,ダート,良,2020年7月26日
202001010203,1700,晴,ダート,良,2020年7月26日
202001010204,2000,晴,芝,良,2020年7月26日
202001010205,1800,晴,芝,良,2020年7月26日
202001010206,1700,晴,ダート,良,2020年7月26日
202001010207,1800,晴,芝,良,2020年7月26日
202001010208,1700,晴,ダート,良,2020年7月26日
202001010209,2000,晴,芝,良,2020年7月26日
202001010210,1200,晴,芝,良,2020年7月26日
202001010211,1700,晴,ダート,良,2020年7月26日
202001010212,1500,晴,芝,良,2020年7月26日
202001010301,1500,晴,芝,良,2020年8月1日
202001010302,1700,晴,ダート,良,2020年8月1日
202001010303,1000,晴,ダート,良,2020年8月1日
202001010304,1700,晴,ダート,良,2020年8月1日
202001010305,1500,晴,芝,良,2020年8月1日
202001010306,2000,晴,芝,良,2020年8月1日
202001010307,1800,晴,芝,良,2020年8月1日
202001010308,1000,晴,ダート,良,2020年8月1日
202001010309,1200,晴,芝,良,2020年8月1日
202001010310,2600,晴,芝,良,2020年8月1日
202001010311,1800,晴,芝,良,2020年8月1日
202001010312,1700,晴,ダート,良,2020年8月1日
202001010401,1000,晴,ダート,良,2020年8月2日
202001010402,1700,晴,ダート,良,2020年8月2日
202001010403,2000,晴,芝,良,2020年8月2日
202001010404,1200,晴,芝,良,2020年8月2日
202001010405,2000,晴,芝,良,2020年8月2日
202001010406,1000,晴,ダート,良,2020年8月2日
202001010407,2000,晴,芝,良,2020年8月2日
202001010408,2600,晴,芝,良,2020年8月2日
202001010409,1700,晴,ダート,良,2020年8月2日
202001010410,1700,晴,ダート,良,2020年8月2日
202001010411,1800,晴,芝,良,2020年8月2日
202001010412,1500,晴,芝,良,2020年8月2日
202001010501,1700,曇,ダート,良,2020年8月8日
202001010502,1800,曇,芝,良,2020年8月8日
202001010503,1700,曇,ダート,良,2020年8月8日
202001010504,1500,曇,芝,良,2020年8月8日
202001010505,1200,曇,芝,良,2020年8月8日
202001010506,2000,曇,芝,良,2020年8月8日
202001010507,1000,晴,ダート,良,2020年8月8日
202001010508,1700,晴,ダート,良,2020年8月8日
202001010509,1800,晴,芝,良,2020年8月8日
202001010510,1700,晴,ダート,良,2020年8月8日
202001010511,2600,晴,芝,良,2020年8月8日
202001010512,1500,晴,芝,良,2020年8月8日
202001010601,1200,晴,芝,良,2020年8月9日
202001010602,1000,晴,ダート,良,2020年8月9日
202001010603,1700,晴,ダート,良,2020年8月9日
202001010604,1200,晴,芝,良,2020年8月9日
202001010605,1800,晴,芝,良,2020年8月9日
202001010606,2600,晴,芝,良,2020年8月9日
202001010607,1700,晴,ダート,良,2020年8月9日
202001010608,2000,晴,芝,良,2020年8月9日
202001010609,1800,晴,芝,良,2020年8月9日
202001010610,1200,曇,芝,良,2020年8月9日
202001010611,1700,曇,ダート,良,2020年8月9日
202001010612,1200,晴,芝,良,2020年8月9日
202001020101,1800,晴,芝,稍重,2020年8月15日
202001020102,1000,晴,ダート,不良,2020年8月15日
202001020103,1700,晴,ダート,不良,2020年8月15日
202001020104,1000,晴,ダート,不良,2020年8月15日
202001020105,1500,晴,芝,稍重,2020年8月15日
202001020106,2000,晴,芝,稍重,2020年8月15日
202001020107,1700,晴,ダート,不良,2020年8月15日
202001020108,2600,晴,芝,稍重,2020年8月15日
202001020109,1200,晴,芝,稍重,2020年8月15日
202001020110,1800,晴,芝,稍重,2020年8月15日
202001020111,1700,晴,ダート,重,2020年8月15日
202001020112,1500,晴,芝,稍重,2020年8月15日
202001020201,1200,曇,芝,良,2020年8月16日
202001020202,1700,曇,ダート,重,2020年8月16日
202001020203,1500,曇,芝,良,2020年8月16日
202001020204,1700,曇,ダート,重,2020年8月16日
202001020205,1800,曇,芝,良,2020年8月16日
202001020206,1000,曇,ダート,稍重,2020年8月16日
202001020207,1700,曇,ダート,稍重,2020年8月16日
202001020208,1500,晴,芝,良,2020年8月16日
202001020209,1000,晴,ダート,稍重,2020年8月16日
202001020210,2000,晴,芝,良,2020年8月16日
202001020211,1200,曇,芝,良,2020年8月16日
202001020212,1800,曇,芝,良,2020年8月16日
202001020301,1800,晴,芝,良,2020年8月22日
202001020302,1700.0,,,,
202001020303,1700,晴,ダート,良,2020年8月22日
202001020304,1200,晴,芝,良,2020年8月22日
202001020305,1200,晴,芝,良,2020年8月22日
202001020306,1700,晴,ダート,良,2020年8月22日
202001020307,2000,晴,芝,良,2020年8月22日
202001020308,1000,晴,ダート,良,2020年8月22日
202001020309,1700,晴,ダート,良,2020年8月22日
202001020310,2000,晴,芝,良,2020年8月22日
202001020311,2600,晴,芝,良,2020年8月22日
202001020312,1200,晴,芝,良,2020年8月22日
202001020401,1500,晴,芝,良,2020年8月23日
202001020402,1000,晴,ダート,良,2020年8月23日
202001020403,1700,晴,ダート,良,2020年8月23日
202001020404,2600,晴,芝,良,2020年8月23日
202001020405,2000,晴,芝,良,2020年8月23日
202001020406,2400,晴,ダート,良,2020年8月23日
202001020407,1700,晴,ダート,良,2020年8月23日
202001020408,2000,晴,芝,良,2020年8月23日
202001020409,1500,晴,芝,良,2020年8月23日
202001020410,1700,晴,ダート,良,2020年8月23日
202001020411,2000,晴,芝,良,2020年8月23日
202001020412,1200,晴,芝,良,2020年8月23日
202001020501,1800,曇,芝,良,2020年8月29日
202001020502,1200,曇,芝,良,2020年8月29日
202001020503,1000,曇,ダート,良,2020年8月29日
202001020504,1700,曇,ダート,良,2020年8月29日
202001020505,1700,曇,ダート,良,2020年8月29日
202001020506,1500,曇,芝,良,2020年8月29日
202001020507,1800,小雨,芝,良,2020年8月29日
202001020508,1700,曇,ダート,良,2020年8月29日
202001020509,2600,曇,芝,良,2020年8月29日
202001020510,1200,曇,芝,良,2020年8月29日
202001020511,2000,小雨,芝,良,2020年8月29日
202001020512,1700,小雨,ダート,良,2020年8月29日
202001020601,1500,雨,芝,重,2020年8月30日
202001020602,1000,雨,ダート,不良,2020年8月30日
202001020603,2400,雨,ダート,不良,2020年8月30日
202001020604,2000,雨,芝,重,2020年8月30日
202001020605,1800,雨,芝,重,2020年8月30日
202001020606,1700,小雨,ダート,不良,2020年8月30日
202001020607,1000,小雨,ダート,不良,2020年8月30日
202001020608,1500,小雨,芝,重,2020年8月30日
202001020609,1200,小雨,芝,重,2020年8月30日
202001020610,1700,小雨,ダート,不良,2020年8月30日
202001020611,1200,小雨,芝,重,2020年8月30日
202001020612,1800,小雨,芝,重,2020年8月30日
202001020701,1700,曇,ダート,良,2020年9月5日
202001020702,1200,晴,芝,良,2020年9月5日
202001020703,1700,晴,ダート,良,2020年9月5日
202001020704,1700,晴,ダート,良,2020年9月5日
202001020705,1500,晴,芝,良,2020年9月5日
202001020706,1000,晴,ダート,良,2020年9月5日
202001020707,2000,晴,芝,良,2020年9月5日
202001020708,2000,晴,芝,良,2020年9月5日
202001020709,1700,晴,ダート,良,2020年9月5日
202001020710,1200,晴,芝,良,2020年9月5日
202001020711,1800,晴,芝,良,2020年9月5日
202001020712,1500,晴,芝,良,2020年9月5日
202001020801,2000,晴,芝,良,2020年9月6日
202001020802,1200,晴,芝,良,2020年9月6日
202001020803,1000,晴,ダート,良,2020年9月6日
202001020804,1700,晴,ダート,良,2020年9月6日
202001020805,2000,晴,芝,良,2020年9月6日
202001020806,1200,晴,芝,良,2020年9月6日
202001020807,1800,晴,芝,良,2020年9月6日
202001020808,1700,晴,ダート,良,2020年9月6日
202001020809,1500,晴,芝,良,2020年9月6日
202001020810,1200,晴,芝,良,2020年9月6日
202001020811,2600,晴,芝,良,2020年9月6日
202001020812,1700,晴,ダート,良,2020年9月6日
202002010101,1200,晴,芝,良,2020年6月13日
202002010102,1700,晴,ダート,良,2020年6月13日
202002010103,1000,晴,ダート,良,2020年6月13日
202002010104,1700,晴,ダート,良,2020年6月13日
202002010105,1000,晴,芝,良,2020年6月13日
202002010106,1200,晴,芝,良,2020年6月13日
202002010107,2000,晴,芝,良,2020年6月13日
202002010108,1000,晴,ダート,良,2020年6月13日
202002010109,1700,晴,ダート,良,2020年6月13日
202002010110,2600,晴,芝,良,2020年6月13日
202002010111,1200,晴,芝,良,2020年6月13日
202002010112,1800,晴,芝,良,2020年6月13日
202002010201,1200,曇,芝,良,2020年6月14日
202002010202,1700,曇,ダート,良,2020年6月14日
202002010203,1000,曇,ダート,良,2020年6月14日
202002010204,1800,曇,芝,良,2020年6月14日
202002010205,1200,曇,芝,良,2020年6月14日
202002010206,1700,曇,ダート,良,2020年6月14日
202002010207,1000,晴,ダート,良,2020年6月14日
202002010208,2000,晴,芝,良,2020年6月14日
202002010209,1200,曇,芝,良,2020年6月14日
202002010210,1700,曇,ダート,良,2020年6月14日
202002010211,1200,曇,芝,良,2020年6月14日
202002010212,1800,曇,芝,良,2020年6月14日
