,race_id,着順,枠番,馬番,馬名,斤量,騎手,タイム,上り,単勝,人気,性,年齢,体重,体重変化
0,201601010101,1,6,6,ニシノキララコ,52,井上敏樹,1:50.5,35.3,49.6,8,牝,2,434,-4
1,201601010101,2,2,2,ユノディエール,54,四位洋文,1:50.8,35.3,29.6,7,牡,2,438,-2
2,201601010101,3,5,5,マイネルヘミニス,54,丹内祐次,1:51.1,36.4,12.4,4,牡,2,458,-2
3,201601010101,4,4,4,プラチナヴォイス,51,坂井瑠星,1:51.1,36.2,4.2,2,牡,2,500,-4
4,201601010101,5,3,3,スピリットソウル,54,福永祐一,1:51.1,36.2,1.7,1,牡,2,468,2
5,201601010101,6,7,8,ジャコマル,54,横山典弘,1:51.2,35.7,121.5,10,牡,2,456,0
6,201601010101,7,8,10,クインズゴールド,54,吉田隼人,1:51.3,35.4,19.6,6,牝,2,422,0
7,201601010101,8,8,9,アルマバテーム,54,勝浦正樹,1:52.5,37.0,117.8,9,牝,2,488,-2
8,201601010101,9,7,7,ナルカミ,54,菱田裕二,1:53.3,38.6,8.7,3,牡,2,470,8
9,201601010101,10,1,1,プエルタデルソル,54,ティータ,1:54.8,39.7,14.8,5,牡,2,462,-2
0,201601010102,1,3,3,イエロースター,54,三浦皇成,0:59.0,35.5,5.3,2,牝,3,492,2
1,201601010102,2,2,2,キセキノムスメ,53,中井裕二,0:59.5,35.4,5.5,3,牝,3,450,6
2,201601010102,3,7,9,ジュラーレ,53,加藤祥太,0:59.5,34.9,43.9,11,牝,3,412,-3
3,201601010102,4,7,10,シャウトオブジョイ,54,ルメール,0:59.7,35.8,2.6,1,牝,3,512,-6
4,201601010102,5,8,12,ハヤブサミカリン,51,坂井瑠星,0:59.9,36.3,9.8,5,牝,3,442,-8
5,201601010102,6,4,4,ハコダテキミコ,54,柴山雄一,1:00.0,35.9,30.7,10,牝,3,444,0
6,201601010102,7,8,11,オルテジー,52,長岡禎仁,1:00.0,35.8,150.7,12,牝,3,436,0
7,201601010102,8,6,7,レパーズタウン,52,原田和真,1:00.0,36.3,12.9,6,牝,3,434,0
8,201601010102,9,5,5,クリノアンジュ,52,井上敏樹,1:01.3,37.2,19.5,8,牝,3,484,0
9,201601010102,10,1,1,クリアーウェイ,54,松岡正海,1:01.7,37.9,8.5,4,牝,3,438,6
10,201601010102,11,5,6,タカイチモン,52,城戸義政,1:02.5,38.9,20.4,9,牝,3,430,6
11,201601010102,12,6,8,スピードムテキ,54,ティータ,1:02.5,38.6,19.5,7,牝,3,438,-10
0,201601010103,1,6,6,トウカイハッピー,56,四位洋文,2:34.9,38.1,12.2,3,牡,3,490,0
1,201601010103,2,6,7,ウィーバービル,56,ルメール,2:35.0,39.0,1.3,1,牡,3,510,0
2,201601010103,3,8,11,メイショウルルド,56,吉田隼人,2:35.3,39.4,6.7,2,牡,3,512,2
3,201601010103,4,5,5,シーザワールド,56,菱田裕二,2:35.8,39.4,16.7,5,牡,3,496,-10
4,201601010103,5,8,10,ウインウェルス,56,松岡正海,2:36.2,39.8,49.7,9,牡,3,506,12
5,201601010103,6,2,2,ニシノライト,55,加藤祥太,2:36.2,39.9,18.6,6,牡,3,440,2
6,201601010103,7,1,1,ストラーノ,53,坂井瑠星,2:36.2,38.8,13.3,4,牡,3,472,-12
7,201601010103,8,7,9,メイショウカイヒメ,53,中井裕二,2:37.5,40.6,140.1,10,牝,3,468,6
8,201601010103,9,4,4,ノーブルワルツ,56,菅原隆一,2:38.1,40.9,33.3,8,牡,3,488,4
