race_id,race_name,course_len,rotation,weather,race_type,ground_state,date
202101010101,3歳未勝利,1200,右,小雨,芝,良,2021年6月12日
202101010102,3歳未勝利,1700,右,曇,ダート,良,2021年6月12日
202101010103,3歳未勝利,1000,右,曇,ダート,良,2021年6月12日
202101010104,3歳未勝利,2000,右,曇,芝,良,2021年6月12日
202101010105,2歳新馬,1000,右,曇,芝,良,2021年6月12日
202101010106,3歳未勝利,1700,右,曇,ダート,良,2021年6月12日
202101010107,3歳以上1勝クラス,1000,右,曇,ダート,良,2021年6月12日
202101010108,3歳以上1勝クラス,2000,右,曇,芝,良,2021年6月12日
202101010109,3歳以上1勝クラス,1700,右,晴,ダート,良,2021年6月12日
202101010110,積丹特別 ,2600,右,晴,芝,良,2021年6月12日
202101010111,大倉山特別 ,1200,右,晴,芝,良,2021年6月12日
202101010112,HTB賞 ,1800,右,晴,芝,良,2021年6月12日
202101010201,3歳未勝利,1500,右,晴,芝,良,2021年6月13日
202101010202,3歳未勝利,1000,右,晴,ダート,良,2021年6月13日
202101010203,3歳未勝利,1700,右,晴,ダート,良,2021年6月13日
202101010204,3歳未勝利,2000,右,晴,芝,良,2021年6月13日
202101010205,2歳新馬,1200,右,晴,芝,良,2021年6月13日
202101010206,3歳未勝利,1800,右,晴,芝,良,2021年6月13日
202101010207,3歳以上1勝クラス,1000,右,晴,ダート,良,2021年6月13日
202101010208,3歳以上1勝クラス,1700,右,晴,ダート,良,2021年6月13日
202101010209,3歳以上1勝クラス,1200,右,晴,芝,良,2021年6月13日
202101010210,十勝岳特別 ,1800,右,晴,芝,良,2021年6月13日
202101010211,第28回函館スプリントS(G3),1200,右,晴,芝,良,2021年6月13日
202101010212,桑園特別 ,1700,右,晴,ダート,良,2021年6月13日
202101010301,3歳未勝利,1200,右,晴,芝,良,2021年6月19日
202101010302,3歳未勝利,1700,右,晴,ダート,良,2021年6月19日
202101010303,3歳未勝利,2600,右,晴,芝,良,2021年6月19日
202101010304,3歳未勝利,1700,右,曇,ダート,良,2021年6月19日
202101010305,2歳新馬,1200,右,曇,芝,良,2021年6月19日
202101010306,2歳新馬,1000,右,曇,ダート,良,2021年6月19日
202101010307,3歳未勝利,1800,右,曇,芝,良,2021年6月19日
202101010308,3歳以上1勝クラス,1000,右,曇,ダート,良,2021年6月19日
202101010309,3歳以上1勝クラス,1700,右,曇,ダート,良,2021年6月19日
202101010310,利尻特別 ,2000,右,曇,芝,良,2021年6月19日
202101010311,STV賞 ,1500,右,曇,芝,良,2021年6月19日
202101010312,礼文特別 ,1200,右,曇,芝,良,2021年6月19日
202101010401,3歳未勝利,1200,右,曇,芝,稍重,2021年6月20日
202101010402,3歳未勝利,1700,右,曇,ダート,重,2021年6月20日
202101010403,3歳未勝利,1000,右,晴,ダート,重,2021年6月20日
202101010404,3歳未勝利,2000,右,晴,芝,稍重,2021年6月20日
202101010405,2歳新馬,1200,右,曇,芝,稍重,2021年6月20日
202101010406,3歳未勝利,1700,右,曇,ダート,稍重,2021年6月20日
202101010407,3歳以上1勝クラス,1200,右,曇,芝,良,2021年6月20日
202101010408,3歳以上1勝クラス,1700,右,曇,ダート,稍重,2021年6月20日
202101010409,3歳以上1勝クラス,1500,右,曇,芝,良,2021年6月20日
202101010410,知床特別 ,1800,右,曇,芝,良,2021年6月20日
202101010411,しらかばステークス ,1200,右,曇,芝,良,2021年6月20日
202101010412,報知杯大雪山特別 ,1700,右,曇,ダート,稍重,2021年6月20日
202101010501,2歳未勝利,1200,右,晴,芝,良,2021年6月26日
202101010502,3歳未勝利,1000,右,晴,ダート,良,2021年6月26日
202101010503,3歳未勝利,1700,右,晴,ダート,良,2021年6月26日
202101010504,3歳未勝利,1500,右,晴,芝,良,2021年6月26日
202101010505,2歳新馬,1200,右,晴,芝,良,2021年6月26日
202101010506,3歳未勝利,2000,右,晴,芝,良,2021年6月26日
202101010507,3歳以上1勝クラス,1000,右,晴,ダート,良,2021年6月26日
202101010508,3歳以上1勝クラス,1700,右,晴,ダート,良,2021年6月26日
202101010509,3歳以上1勝クラス,1200,右,晴,芝,良,2021年6月26日
202101010510,北辰特別 ,1800,右,晴,芝,良,2021年6月26日
202101010511,TVh賞 ,1200,右,晴,芝,良,2021年6月26日
202101010512,ポプラ特別 ,1700,右,晴,ダート,良,2021年6月26日
202101010601,3歳未勝利,1200,右,晴,芝,良,2021年6月27日
202101010602,3歳未勝利,1700,右,晴,ダート,良,2021年6月27日
202101010603,3歳未勝利,1000,右,晴,ダート,良,2021年6月27日
202101010604,3歳未勝利,1800,右,晴,芝,良,2021年6月27日
202101010605,2歳新馬,1200,右,晴,芝,良,2021年6月27日
202101010606,3歳未勝利,1700,右,晴,ダート,良,2021年6月27日
202101010607,3歳以上1勝クラス,2600,右,晴,芝,良,2021年6月27日
202101010608,3歳以上1勝クラス,1700,右,晴,ダート,良,2021年6月27日
202101010609,3歳以上1勝クラス,1500,右,晴,芝,良,2021年6月27日
202101010610,ライラック賞 ,2000,右,晴,芝,良,2021年6月27日
202101010611,大沼ステークス(L),1700,右,晴,ダート,良,2021年6月27日
202101010612,HBC賞 ,1200,右,晴,芝,良,2021年6月27日
202101020101,2歳未勝利,1800,右,晴,芝,良,2021年8月14日
202101020102,3歳未勝利,1700,右,晴,ダート,良,2021年8月14日
202101020103,3歳未勝利,1000,右,晴,ダート,良,2021年8月14日
