,features,importance
4,単勝,2293
7,体重,2064
3,上り,1904
9,race_id_y,1733
1,馬番,971
10,course_len,948
8,体重変化,889
0,枠番,763
5,人気,721
2,斤量,439
6,年齢,314
86,race_name_3歳未勝利,278
806,weather_曇,183
76,性_牝,157
809,race_type_ダート,140
46,騎手_横山武史,125
805,weather_晴,125
807,weather_雨,121
77,性_牡,116
80,race_name_2歳新馬,105
82,race_name_3歳1勝クラス,103
23,騎手_団野大成,95
50,騎手_池添謙一,91
47,騎手_武豊,91
801,rotation_右,90
88,race_name_4歳以上2勝クラス,88
812,ground_state_稍重,88
813,ground_state_良,85
26,騎手_坂井瑠星,83
83,race_name_3歳以上1勝クラス,81
814,ground_state_重,77
63,騎手_菱田裕二,74
21,騎手_吉田隼人,68
811,ground_state_不良,63
45,騎手_横山和生,60
810,race_type_芝,57
87,race_name_4歳以上1勝クラス,57
66,騎手_藤岡佑介,56
29,騎手_大野拓弥,51
75,性_セ,44
14,騎手_亀田温心,37
11,騎手_ルメール,35
802,rotation_左,20
13,騎手_丹内祐次,17
556,race_name_福寿草特別 ,0
555,race_name_神鍋特別 ,0
554,race_name_神無月ステークス ,0
31,騎手_山田敬士,0
553,race_name_神奈川新聞杯 ,0
557,race_name_福島2歳ステークス ,0
551,race_name_磐梯山特別 ,0
550,race_name_石狩特別 ,0
552,race_name_礼文特別 ,0
563,race_name_秋嶺ステークス ,0
558,race_name_福島テレビオープン ,0
559,race_name_福島中央テレビ杯 ,0
560,race_name_福島放送賞 ,0
561,race_name_福島民友カップ(L),0
562,race_name_福島民報杯(L),0
564,race_name_秋明菊賞 ,0
565,race_name_秋色ステークス ,0
566,race_name_秩父特別 ,0
567,race_name_稲荷特別 ,0
568,race_name_積丹特別 ,0
549,race_name_石和特別 ,0
545,race_name_相馬特別 ,0
548,race_name_知立特別 ,0
535,race_name_白富士ステークス(L),0
525,race_name_犬山特別 ,0
526,race_name_猪名川特別 ,0
527,race_name_猪苗代特別 ,0
528,race_name_玄海特別 ,0
529,race_name_生田特別 ,0
530,race_name_由比ヶ浜特別 ,0
531,race_name_甲南ステークス ,0
532,race_name_甲斐路ステークス ,0
533,race_name_町田特別 ,0
534,race_name_白井特別 ,0
536,race_name_白嶺ステークス ,0
547,race_name_知床特別 ,0
537,race_name_白川郷ステークス ,0
538,race_name_白梅賞 ,0
539,race_name_白河特別 ,0
540,race_name_白秋ステークス ,0
