race_name,course_len,rotation,weather,race_type,ground_state,date
2歳未勝利,1800,右,曇,芝,良,2020年7月25日
3歳未勝利,1700,右,曇,ダート,良,2020年7月25日
3歳未勝利,1500,右,曇,芝,良,2020年7月25日
3歳未勝利,1700,右,曇,ダート,良,2020年7月25日
2歳新馬,1200,右,晴,芝,良,2020年7月25日
3歳未勝利,2000,右,晴,芝,良,2020年7月25日
3歳以上1勝クラス,1000,右,晴,ダート,良,2020年7月25日
3歳以上1勝クラス,1700,右,晴,ダート,良,2020年7月25日
利尻特別 ,2000,右,晴,芝,良,2020年7月25日
大倉山特別 ,1700,右,晴,ダート,良,2020年7月25日
しらかばステークス ,1200,右,晴,芝,良,2020年7月25日
3歳以上1勝クラス,1200,右,曇,芝,良,2020年7月25日
2歳未勝利,1200,右,晴,芝,良,2020年7月26日
3歳未勝利,1000,右,晴,ダート,良,2020年7月26日
3歳未勝利,1700,右,晴,ダート,良,2020年7月26日
3歳未勝利,2000,右,晴,芝,良,2020年7月26日
2歳新馬,1800,右,晴,芝,良,2020年7月26日
2歳新馬,1700,右,晴,ダート,良,2020年7月26日
3歳以上1勝クラス,1800,右,晴,芝,良,2020年7月26日
3歳以上1勝クラス,1700,右,晴,ダート,良,2020年7月26日
HTB賞 ,2000,右,晴,芝,良,2020年7月26日
知床特別 ,1200,右,晴,芝,良,2020年7月26日
報知杯大雪ハンデ ,1700,右,晴,ダート,良,2020年7月26日
3歳以上1勝クラス,1500,右,晴,芝,良,2020年7月26日
2歳未勝利,1500,右,晴,芝,良,2020年8月1日
3歳未勝利,1700,右,晴,ダート,良,2020年8月1日
3歳未勝利,1000,右,晴,ダート,良,2020年8月1日
3歳未勝利,1700,右,晴,ダート,良,2020年8月1日
2歳新馬,1500,右,晴,芝,良,2020年8月1日
3歳未勝利,2000,右,晴,芝,良,2020年8月1日
3歳以上1勝クラス,1800,右,晴,芝,良,2020年8月1日
3歳以上2勝クラス,1000,右,晴,ダート,良,2020年8月1日
礼文特別 ,1200,右,晴,芝,良,2020年8月1日
阿寒湖特別 ,2600,右,晴,芝,良,2020年8月1日
STV賞 ,1800,右,晴,芝,良,2020年8月1日
3歳以上1勝クラス,1700,右,晴,ダート,良,2020年8月1日
2歳未勝利,1000,右,晴,ダート,良,2020年8月2日
3歳未勝利,1700,右,晴,ダート,良,2020年8月2日
3歳未勝利,2000,右,晴,芝,良,2020年8月2日
3歳未勝利,1200,右,晴,芝,良,2020年8月2日
2歳新馬,2000,右,晴,芝,良,2020年8月2日
3歳以上1勝クラス,1000,右,晴,ダート,良,2020年8月2日
3歳以上1勝クラス,2000,右,晴,芝,良,2020年8月2日
積丹特別 ,2600,右,晴,芝,良,2020年8月2日
3歳以上1勝クラス,1700,右,晴,ダート,良,2020年8月2日
ポプラ特別 ,1700,右,晴,ダート,良,2020年8月2日
第68回クイーンステークス(G3),1800,右,晴,芝,良,2020年8月2日
札幌道新スポーツ賞 ,1500,右,晴,芝,良,2020年8月2日
2歳未勝利,1700,右,曇,ダート,良,2020年8月8日
2歳未勝利,1800,右,曇,芝,良,2020年8月8日
3歳未勝利,1700,右,曇,ダート,良,2020年8月8日
3歳未勝利,1500,右,曇,芝,良,2020年8月8日
2歳新馬,1200,右,曇,芝,良,2020年8月8日
3歳未勝利,2000,右,曇,芝,良,2020年8月8日
3歳以上1勝クラス,1000,右,晴,ダート,良,2020年8月8日
3歳以上1勝クラス,1700,右,晴,ダート,良,2020年8月8日
北辰特別 ,1800,右,晴,芝,良,2020年8月8日
桑園特別 ,1700,右,晴,ダート,良,2020年8月8日
札幌日経オープン(L),2600,右,晴,芝,良,2020年8月8日
3歳以上1勝クラス,1500,右,晴,芝,良,2020年8月8日
2歳未勝利,1200,右,晴,芝,良,2020年8月9日
3歳未勝利,1000,右,晴,ダート,良,2020年8月9日
3歳未勝利,1700,右,晴,ダート,良,2020年8月9日
3歳未勝利,1200,右,晴,芝,良,2020年8月9日
2歳新馬,1800,右,晴,芝,良,2020年8月9日
3歳未勝利,2600,右,晴,芝,良,2020年8月9日
3歳以上1勝クラス,1700,右,晴,ダート,良,2020年8月9日
3歳以上1勝クラス,2000,右,晴,芝,良,2020年8月9日
ライラック賞 ,1800,右,晴,芝,良,2020年8月9日
HBC賞 ,1200,右,曇,芝,良,2020年8月9日
第25回エルムステークス(G3),1700,右,曇,ダート,良,2020年8月9日
3歳以上1勝クラス,1200,右,晴,芝,良,2020年8月9日
2歳未勝利,1800,右,晴,芝,稍重,2020年8月15日
2歳未勝利,1000,右,晴,ダート,不良,2020年8月15日
3歳未勝利,1700,右,晴,ダート,不良,2020年8月15日
3歳未勝利,1000,右,晴,ダート,不良,2020年8月15日
2歳新馬,1500,右,晴,芝,稍重,2020年8月15日
3歳未勝利,2000,右,晴,芝,稍重,2020年8月15日
3歳以上1勝クラス,1700,右,晴,ダート,不良,2020年8月15日
3歳以上1勝クラス,2600,右,晴,芝,稍重,2020年8月15日
3歳以上1勝クラス,1200,右,晴,芝,稍重,2020年8月15日
コスモス賞 ,1800,右,晴,芝,稍重,2020年8月15日
TVh賞 ,1700,右,晴,ダート,重,2020年8月15日
羊ヶ丘特別 ,1500,右,晴,芝,稍重,2020年8月15日
2歳未勝利,1200,右,曇,芝,良,2020年8月16日
3歳未勝利,1700,右,曇,ダート,重,2020年8月16日
3歳未勝利,1500,右,曇,芝,良,2020年8月16日
3歳未勝利,1700,右,曇,ダート,重,2020年8月16日
2歳新馬,1800,右,曇,芝,良,2020年8月16日
3歳以上1勝クラス,1000,右,曇,ダート,稍重,2020年8月16日
3歳以上1勝クラス,1700,右,曇,ダート,稍重,2020年8月16日
3歳以上1勝クラス,1500,右,晴,芝,良,2020年8月16日
3歳以上2勝クラス,1000,右,晴,ダート,稍重,2020年8月16日
藻岩山特別 ,2000,右,晴,芝,良,2020年8月16日
UHB賞 ,1200,右,曇,芝,良,2020年8月16日
石狩特別 ,1800,右,曇,芝,良,2020年8月16日
2歳未勝利,1800,右,晴,芝,良,2020年8月22日
3歳未勝利,1700,右,晴,ダート,良,2020年8月22日
3歳未勝利,1200,右,晴,芝,良,2020年8月22日
2歳新馬,1200,右,晴,芝,良,2020年8月22日
3歳未勝利,1700,右,晴,ダート,良,2020年8月22日
3歳未勝利,2000,右,晴,芝,良,2020年8月22日
3歳以上1勝クラス,1000,右,晴,ダート,良,2020年8月22日
3歳以上1勝クラス,1700,右,晴,ダート,良,2020年8月22日
富良野特別 ,2000,右,晴,芝,良,2020年8月22日
札幌日刊スポーツ杯 ,2600,右,晴,芝,良,2020年8月22日
千歳特別 ,1200,右,晴,芝,良,2020年8月22日
2歳未勝利,1500,右,晴,芝,良,2020年8月23日
3歳未勝利,1000,右,晴,ダート,良,2020年8月23日
3歳未勝利,1700,右,晴,ダート,良,2020年8月23日
3歳未勝利,2600,右,晴,芝,良,2020年8月23日
2歳新馬,2000,右,晴,芝,良,2020年8月23日
3歳以上1勝クラス,2400,右,晴,ダート,良,2020年8月23日
3歳以上1勝クラス,1700,右,晴,ダート,良,2020年8月23日
3歳以上1勝クラス,2000,右,晴,芝,良,2020年8月23日
クローバー賞 ,1500,右,晴,芝,良,2020年8月23日
大通公園特別 ,1700,右,晴,ダート,良,2020年8月23日
第56回札幌記念(G2),2000,右,晴,芝,良,2020年8月23日
手稲山特別 ,1200,右,晴,芝,良,2020年8月23日
2歳未勝利,1800,右,曇,芝,良,2020年8月29日
2歳未勝利,1200,右,曇,芝,良,2020年8月29日
3歳未勝利,1000,右,曇,ダート,良,2020年8月29日
3歳未勝利,1700,右,曇,ダート,良,2020年8月29日
