,race_id,race_name,race_class,course_len,rotation,weather,race_type,ground_state,date
0,202101010101,3歳未勝利,3歳未勝利,1200,右,小雨,芝,良,2021年6月12日
1,202101010102,3歳未勝利,3歳未勝利,1700,右,曇,ダート,良,2021年6月12日
2,202101010103,3歳未勝利,3歳未勝利,1000,右,曇,ダート,良,2021年6月12日
3,202101010104,3歳未勝利,3歳未勝利,2000,右,曇,芝,良,2021年6月12日
4,202101010105,2歳新馬,2歳新馬,1000,右,曇,芝,良,2021年6月12日
5,202101010106,3歳未勝利,3歳未勝利,1700,右,曇,ダート,良,2021年6月12日
6,202101010107,3歳以上1勝クラス,3歳以上1勝クラス,1000,右,曇,ダート,良,2021年6月12日
7,202101010108,3歳以上1勝クラス,3歳以上1勝クラス,2000,右,曇,芝,良,2021年6月12日
8,202101010109,3歳以上1勝クラス,3歳以上1勝クラス,1700,右,晴,ダート,良,2021年6月12日
9,202101010110,積丹特別 ,3歳以上1勝クラス,2600,右,晴,芝,良,2021年6月12日
10,202101010111,大倉山特別 ,3歳以上2勝クラス,1200,右,晴,芝,良,2021年6月12日
11,202101010112,HTB賞 ,3歳以上2勝クラス,1800,右,晴,芝,良,2021年6月12日
12,202101010201,3歳未勝利,3歳未勝利,1500,右,晴,芝,良,2021年6月13日
13,202101010202,3歳未勝利,3歳未勝利,1000,右,晴,ダート,良,2021年6月13日
14,202101010203,3歳未勝利,3歳未勝利,1700,右,晴,ダート,良,2021年6月13日
15,202101010204,3歳未勝利,3歳未勝利,2000,右,晴,芝,良,2021年6月13日
16,202101010205,2歳新馬,2歳新馬,1200,右,晴,芝,良,2021年6月13日
17,202101010206,3歳未勝利,3歳未勝利,1800,右,晴,芝,良,2021年6月13日
18,202101010207,3歳以上1勝クラス,3歳以上1勝クラス,1000,右,晴,ダート,良,2021年6月13日
19,202101010208,3歳以上1勝クラス,3歳以上1勝クラス,1700,右,晴,ダート,良,2021年6月13日
20,202101010209,3歳以上1勝クラス,3歳以上1勝クラス,1200,右,晴,芝,良,2021年6月13日
21,202101010210,十勝岳特別 ,3歳以上1勝クラス,1800,右,晴,芝,良,2021年6月13日
22,202101010211,第28回函館スプリントS(G3),3歳以上オープン,1200,右,晴,芝,良,2021年6月13日
23,202101010212,桑園特別 ,3歳以上2勝クラス,1700,右,晴,ダート,良,2021年6月13日
24,202101010301,3歳未勝利,3歳未勝利,1200,右,晴,芝,良,2021年6月19日
25,202101010302,3歳未勝利,3歳未勝利,1700,右,晴,ダート,良,2021年6月19日
26,202101010303,3歳未勝利,3歳未勝利,2600,右,晴,芝,良,2021年6月19日
27,202101010304,3歳未勝利,3歳未勝利,1700,右,曇,ダート,良,2021年6月19日
28,202101010305,2歳新馬,2歳新馬,1200,右,曇,芝,良,2021年6月19日
29,202101010306,2歳新馬,2歳新馬,1000,右,曇,ダート,良,2021年6月19日
30,202101010307,3歳未勝利,3歳未勝利,1800,右,曇,芝,良,2021年6月19日
31,202101010308,3歳以上1勝クラス,3歳以上1勝クラス,1000,右,曇,ダート,良,2021年6月19日
32,202101010309,3歳以上1勝クラス,3歳以上1勝クラス,1700,右,曇,ダート,良,2021年6月19日
33,202101010310,利尻特別 ,3歳以上1勝クラス,2000,右,曇,芝,良,2021年6月19日
34,202101010311,STV賞 ,3歳以上2勝クラス,1500,右,曇,芝,良,2021年6月19日
35,202101010312,礼文特別 ,3歳以上1勝クラス,1200,右,曇,芝,良,2021年6月19日
36,202101010401,3歳未勝利,3歳未勝利,1200,右,曇,芝,稍重,2021年6月20日
37,202101010402,3歳未勝利,3歳未勝利,1700,右,曇,ダート,重,2021年6月20日
38,202101010403,3歳未勝利,3歳未勝利,1000,右,晴,ダート,重,2021年6月20日
39,202101010404,3歳未勝利,3歳未勝利,2000,右,晴,芝,稍重,2021年6月20日
40,202101010405,2歳新馬,2歳新馬,1200,右,曇,芝,稍重,2021年6月20日
41,202101010406,3歳未勝利,3歳未勝利,1700,右,曇,ダート,稍重,2021年6月20日
42,202101010407,3歳以上1勝クラス,3歳以上1勝クラス,1200,右,曇,芝,良,2021年6月20日
43,202101010408,3歳以上1勝クラス,3歳以上1勝クラス,1700,右,曇,ダート,稍重,2021年6月20日
44,202101010409,3歳以上1勝クラス,3歳以上1勝クラス,1500,右,曇,芝,良,2021年6月20日
45,202101010410,知床特別 ,3歳以上1勝クラス,1800,右,曇,芝,良,2021年6月20日
